   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.91911,             0.82558,             0.89302,             0.51408,            0.031162,            0.010026,                   0,             0.00808,             0.01418,             0.97619,             0.00047,              3.6444,                0.95,             0.18766,             0.04113,             0.29556,              1.3147,               1.068,                 0.5,                 0.2,                   8,                   0,             0.00734,              0.7279,             0.66153,                   0,               0.079,             0.47391,                   0,                   0,                   0,                 0.5,             0.62221,                   0,                   0,                   2
             0.92469,             0.85671,             0.94174,             0.65336,            0.029813,           0.0096674,                   0,             0.00787,              0.0115,             0.89631,             0.00063,              2.9448,                0.95,             0.14911,             0.05098,              0.4016,               1.449,              1.0704,             0.63817,                 0.2,              7.6287,                   0,             0.00665,              0.7279,             0.61047,                   0,             0.07014,              0.4652,                   0,                   0,                   0,                 0.5,             0.99646,                   0,                   0,              2.0011
             0.94756,             0.81395,             0.94483,             0.58536,            0.038547,           0.0092044,                   0,             0.00725,             0.01197,             0.89557,             0.00047,              2.9448,              0.7727,             0.16954,             0.05924,             0.34213,              1.4538,             0.98425,             0.60071,                 0.2,              6.7626,                   0,             0.00706,             0.88049,             0.61165,                   0,             0.06581,             0.50853,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.4769
             0.94876,              0.8613,             0.94739,              0.6486,            0.032242,           0.0099857,                   0,             0.00843,             0.01234,             0.89687,             0.00063,              3.0497,                0.95,             0.14857,              0.0536,             0.37659,              1.3342,              1.1342,             0.60355,                 0.2,              7.4714,                   0,             0.00674,             0.69311,             0.61689,                   0,             0.07312,             0.47391,                   0,                   0,                   0,                 0.5,             0.94271,                   0,                   0,                   2
                 0.9,             0.86047,              0.9398,             0.61884,             0.03446,            0.010145,                   0,             0.00808,             0.01145,             0.88549,             0.00068,              2.9448,                0.95,             0.14911,             0.05463,             0.31838,              1.4248,              1.0833,             0.65189,                 0.2,              7.4714,                   0,             0.00682,              0.7279,             0.58482,                   0,               0.067,             0.42739,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.92593,             0.86047,             0.92956,             0.52173,            0.025644,            0.013131,                   0,             0.00808,             0.01175,                0.98,             0.00063,               2.833,             0.93939,             0.14612,             0.03745,             0.38122,              1.3244,              1.0587,             0.62121,                 0.2,              6.2885,                   0,             0.00465,             0.69158,             0.70428,                   0,             0.07057,             0.47391,                   0,                   0,                   0,                 0.5,             0.71229,                   0,                   0,              2.4989
             0.89771,             0.90698,             0.95657,             0.61695,            0.029999,             0.01099,                   0,              0.0089,             0.01223,             0.92536,             0.00063,               2.681,             0.80837,             0.13819,              0.0513,             0.34061,              1.5385,              1.0904,             0.74317,                 0.2,              7.6973,                   0,             0.00704,             0.57458,             0.52248,                   0,             0.07319,             0.40409,                   0,                   0,                   0,                 0.5,             0.91036,                   0,                   0,              2.0011
             0.93191,             0.87209,             0.94397,             0.63703,            0.036905,            0.010598,                   0,             0.00808,             0.01516,             0.89707,             0.00063,              2.8367,             0.89541,             0.11986,             0.05923,             0.42128,              1.6445,              1.2201,             0.59275,                 0.2,                   8,                   0,             0.00727,             0.63885,             0.44583,                   0,             0.05086,             0.39745,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.94731,             0.84884,             0.94495,             0.65985,            0.028686,           0.0093582,                   0,             0.00848,             0.01223,             0.89707,             0.00063,              2.8151,                0.95,             0.15095,             0.05051,             0.38074,              1.3988,               1.068,             0.60355,                 0.2,              7.4714,                   0,             0.00671,              0.7279,             0.58656,                   0,             0.07302,             0.47773,                   0,                   0,                   0,                 0.5,             0.98211,                   0,                   0,                   2
             0.92355,             0.88372,             0.95148,             0.62883,            0.023349,            0.010055,                   0,             0.00847,             0.01041,             0.89707,             0.00063,              2.8151,                0.95,             0.15523,             0.04154,             0.42097,              1.3456,               1.068,             0.60355,                 0.2,              6.4539,                   0,             0.00718,              0.7279,             0.58656,                   0,             0.06694,             0.41844,                   0,                   0,                   0,                 0.5,             0.89234,                   0,                   0,              2.5623
